lap_time,whileloop_count,collision_count
27.03316044807434,3667,14
20.710700035095215,3283,191
19.55603289604187,3180,158
20.26747179031372,3289,197
20.708557605743408,3356,201
21.720401525497437,3556,60
23.101069688796997,3670,1
27.735514640808105,3669,4
27.620497226715088,3667,24
27.446230173110962,3835,34
29.15485453605652,3821,35
27.08070397377014,3669,22
22.73961329460144,3629,1
22.727001905441284,3669,3
27.38710069656372,3615,7
22.479357957839966,3669,3
26.674748182296753,3615,7

这是单层MPPI PPV的结果
23.2524836063385,3670,1
这是multimodal MPPI的结果
27.982605695724487,3669,4
greedy policy使用judge collision, 结果不理想
26.670297145843506,3667,24
在改变代价函数的基础上 放小greedy权重,结果不甚理想
28.392523050308228,3833,5
不改变代价函数,放小greedy权重
27.976741075515747,3752,7
这是尝试low greedy_weight
26.453832626342773,3654,20
26.428194999694824,3645,74
26.232368230819702,3669,4
34.728241205215454,5742,0
单层MPPI的秘钥可能是 5 2 2 28.53005814552307,3668,24
26.430843114852905,3668,4
关掉SparseReward后
26.72151494026184,3668,1
是否具有参考意义呢？
26.91759443283081,3667,8
27.407855987548828,3667,21
单层MPPI测试
5 0 5
25.80341911315918,4620,0
5 0 2 # set as sensi
22.842670917510986,4019,8
5 2 2 # set as balance1
23.2524836063385,3670,1
10 0 2 
20.955804347991943,3661,37
10 2 2 # set as balance2
22.0832097530365,3556,60
10 0 1 
20.574783325195312,3659,51
10 2 1 
20.518953800201416,3467,120
20 2 1 # set as greedy
19.393338918685913,3283,191
40 2 1 
19.198724269866943,3240,193
并行MPPI
sensi_weight_coll 7
25.131678581237793,3666,13
sensi_weight_coll 6
25.12763500213623,3627,3
sensi_weight_coll 5
24.6764874458313,3669,4
sensi_weight_coll 4
26.458784103393555,3667,18
sensi_weight_coll 3
23.98470377922058,3666,28
24.96427321434021,3668,19
25.009097576141357,3708,32
26.01388454437256,3668,11
25.705305337905884,3669,4
19.849547386169434,3283,191
18.638789892196655,3215,153
18.137543439865112,3224,202
18.51002860069275,3204,6
26.272955417633057,4488,338
28.509336948394775,4616,305
29.387014150619507,4849,297
37.26772737503052,5144,18
25.844773769378662,3669,4
20.28812003135681,3283,211
22.17939829826355,3670,2
20.76801300048828,3629,2
25.109875917434692,4416,5
25.909322261810303,3776,62
25.444568872451782,3707,33
20.68285894393921,3629,2
24.995349168777466,3706,37
25.15057611465454,3788,35
26.893187284469604,3776,36
25.43708300590515,3713,30
26.277376651763916,3915,44
26.31294870376587,3915,44
25.773178577423096,3836,51
26.74672269821167,3835,50
26.802250385284424,4034,53
26.893017768859863,3992,42
26.553014039993286,3978,35
26.24413013458252,3916,44
27.763700246810913,4821,13
31.138941526412964,5304,2
21.534807205200195,3670,2
21.22918963432312,3632,5
21.452160835266113,3671,1
21.376482009887695,3672,2
21.105031728744507,3632,5
20.934450387954712,3629,2
20.853650331497192,3632,5
20.891162395477295,3632,5
20.378217458724976,3565,85
18.979475021362305,3329,210
18.3277485370636,3225,143
18.151341915130615,3171,177
18.219784021377563,3204,202
18.078937292099,3156,197
27.492695569992065,4821,13
27.241819620132446,4821,13
25.589365005493164,3810,95
25.154558658599854,3685,110
25.69556427001953,3843,71
25.720744132995605,3848,98
26.682041883468628,3898,43
25.097389698028564,3710,42
24.942100524902344,3708,49
25.383174180984497,3707,43
24.569089889526367,3653,35
24.06131887435913,3668,37
24.205668210983276,3709,55
24.406335830688477,3695,57
24.232394456863403,3668,27
24.989750862121582,3736,43
24.498103618621826,3667,59
24.74147629737854,3695,57
24.059301137924194,3628,45
24.445387363433838,3667,21
24.67871928215027,3668,5
27.245657682418823,4015,33
24.670214891433716,3669,4
24.975849151611328,3668,13
24.18200945854187,3669,4
24.69823694229126,3667,31
18.482990264892578,3233,175
20.95700740814209,3670,2
24.18720245361328,3669,5
24.308470964431763,3669,5
24.677915573120117,3668,30
23.387295722961426,3532,8
19.53084444999695,3382,0
27.755834341049194,4823,0
25.123941898345947,3751,32
54.50433659553528,8140,77
51.869821071624756,9233,317
16.733717441558838,2854,19
20.60098671913147,3066,146
28.625494956970215,4313,11
27.38655972480774,4867,3
27.604368448257446,4847,0
32.64597010612488,4945,11
36.85807251930237,5531,37
33.949798345565796,6000,3
51.73452138900757,9233,317
8.884440660476685,1509,0
9.185498714447021,1509,0
